,album,album_type,track_number,id_track,name,popularity,explicit,duration_ms,release_date,artists
1ClVFfFkdrHrLxVh8opspw,Stoney (Complete Edition),album,19,1ClVFfFkdrHrLxVh8opspw,Broken Whiskey Glass - Instrumental,32,False,237333,2016-12-09,['Post Malone']
73C8OZvy2e6QqtWzdRzk6A,Stoney (Complete Edition),album,20,73C8OZvy2e6QqtWzdRzk6A,Big Lie - Instrumental,33,False,203960,2016-12-09,['Post Malone']
4pQKjAbWS5jywKhDoz86Jw,Stoney (Complete Edition),album,21,4pQKjAbWS5jywKhDoz86Jw,Deja Vu - Instrumental,33,False,236080,2016-12-09,['Post Malone']
42E5lPIvUHZEDASuSbQsh0,Stoney (Complete Edition),album,22,42E5lPIvUHZEDASuSbQsh0,No Option - Instrumental,33,False,177053,2016-12-09,['Post Malone']
0u0SO9cNqI1Yz1SUZzCELj,Stoney (Complete Edition),album,23,0u0SO9cNqI1Yz1SUZzCELj,Cold - Instrumental,33,False,269986,2016-12-09,['Post Malone']
4AgfO6WuXQeyyHhcDql5Zi,Stoney (Complete Edition),album,24,4AgfO6WuXQeyyHhcDql5Zi,I Fall Apart - Instrumental,32,False,221666,2016-12-09,['Post Malone']
59WdwJuDEMdFN0wXJcAPCC,Stoney (Complete Edition),album,25,59WdwJuDEMdFN0wXJcAPCC,Patient - Instrumental,32,False,195733,2016-12-09,['Post Malone']
45I0cFWvCXJg1HUYNcwIF6,Stoney (Complete Edition),album,26,45I0cFWvCXJg1HUYNcwIF6,Go Flex - Instrumental,33,False,178706,2016-12-09,['Post Malone']
5ZAPpWVnN5vpYZ2u6OBeMR,Stoney (Complete Edition),album,27,5ZAPpWVnN5vpYZ2u6OBeMR,Feel - Instrumental,34,False,196906,2016-12-09,['Post Malone']
1q87xLDyoX2YBvNYpHhKz6,Stoney (Complete Edition),album,28,1q87xLDyoX2YBvNYpHhKz6,Too Young - Instrumental,36,False,227453,2016-12-09,['Post Malone']
5ZvIh9p9R0bxRbd3stk4oR,Stoney (Complete Edition),album,29,5ZvIh9p9R0bxRbd3stk4oR,Congratulations - Instrumental,37,False,220373,2016-12-09,['Post Malone']
7Bmo6whfoysQseB6O5Wm4V,Stoney (Complete Edition),album,30,7Bmo6whfoysQseB6O5Wm4V,Up There - Instrumental,33,False,196320,2016-12-09,['Post Malone']
0BsHTvuJOTqugNlgRG9ZF0,Stoney (Complete Edition),album,31,0BsHTvuJOTqugNlgRG9ZF0,"Yours Truly, Austin Post - Instrumental",33,False,218160,2016-12-09,['Post Malone']
2dnAlwEWCLxzI4VGuZ0PxO,Stoney (Complete Edition),album,32,2dnAlwEWCLxzI4VGuZ0PxO,Leave - Instrumental,33,False,325173,2016-12-09,['Post Malone']
6OreFZYYpVX9mIYyYYOfxB,Stoney (Complete Edition),album,33,6OreFZYYpVX9mIYyYYOfxB,Hit This Hard - Instrumental,32,False,249386,2016-12-09,['Post Malone']
1CHYTLOjp5TML1LEF7mEe6,Stoney (Complete Edition),album,34,1CHYTLOjp5TML1LEF7mEe6,Money Made Me Do It - Instrumental,29,False,221586,2016-12-09,['Post Malone']
